PassName,Partnered,SkiResortName,SkiRegion,Address,Latitude,Longitude,WebsiteUrl,TrailMapUrl
Indy,FALSE,Brundage Mountain Resort,,,45.0054,-116.1569924,https://www.indyskipass.com/our-resorts/brundage-mountain-resort,
Indy,FALSE,Bryce Resort,,,38.8174554,-78.7682726,https://www.indyskipass.com/our-resorts/bryce-resort,
Indy,FALSE,Buck Hill,,,44.724844,-93.2862539,https://www.indyskipass.com/our-resorts/buck-hill,
Indy,TRUE,Burke Mountain,,,44.62870605,-71.91029195,https://www.indyskipass.com/our-resorts/burke-mountain,
Indy,FALSE,Caberfae Peaks,,,44.2447088,-85.7231528,https://www.indyskipass.com/our-resorts/caberfae-peaks,
Indy,FALSE,Calabogie Peaks Resort,,,45.274401,-76.7829706,https://www.indyskipass.com/our-resorts/calabogie-peaks-resort,
Indy,FALSE,Caledonia Nordic Ski Club,,,53.97075291,-122.8726574,https://www.indyskipass.com/our-resorts/caledonia-nordic-ski-club,
Indy,FALSE,Camden Snow Bowl,,,44.21769844,-69.13146676,https://www.indyskipass.com/our-resorts/camden-snow-bowl,
Indy,FALSE,Camp Fortune,,,45.5090169,-75.8537991,https://www.indyskipass.com/our-resorts/camp-fortune,
Indy,FALSE,Canaan Valley,,,39.02918667,-79.46069824,https://www.indyskipass.com/our-resorts/canaan-valley,
Indy,FALSE,Cannon Mountain,,,44.1773749,-71.7044046,https://www.indyskipass.com/our-resorts/cannon-mountain,
Indy,FALSE,Cape Smokey,,,46.62761529,-60.42188864,https://www.indyskipass.com/our-resorts/cape-smokey,
Indy,FALSE,Cascade Welcome Center,,,44.2412103,-73.9263423,https://www.indyskipass.com/our-resorts/cascade-welcome-center,
Indy,FALSE,Castle Mountain Resort,,,49.3191188,-114.4151632,https://www.indyskipass.com/our-resorts/castle-mountain-resort,
Indy,FALSE,Cataloochee Ski Area,,,35.5592351,-83.0949862,https://www.indyskipass.com/our-resorts/cataloochee-ski-area,
Indy,FALSE,Catamount Mountain Resort,,,42.1690998,-73.4795061,https://www.indyskipass.com/our-resorts/catamount-mountain-resort,
Indy,FALSE,Catamount Outdoor Family Center,,,44.44831645,-73.04883333,https://www.indyskipass.com/our-resorts/catamount-outdoor-family-center,
Indy,FALSE,Cazenovia Ski Club,,,42.97673,-75.8582938,https://www.indyskipass.com/our-resorts/cazenovia-ski-club,
Indy,TRUE,Cherry Peak,,,41.63624485,-112.0126752,https://www.indyskipass.com/our-resorts/cherry-peak,
Indy,FALSE,Chestnut Mountain Resort,,,42.319017,-90.3963733,https://www.indyskipass.com/our-resorts/chestnut-mountain-resort,
Indy,FALSE,China Peak,,,37.2364356,-119.1599511,https://www.indyskipass.com/our-resorts/china-peak,
Indy,FALSE,Christie Mountain,,,45.5090962,-91.3833987,https://www.indyskipass.com/our-resorts/christie-mountain,
Indy,FALSE,Cooper Spur Ski Area,,,45.4124145,-121.607698,https://www.indyskipass.com/our-resorts/cooper-spur-ski-area,
Indy,FALSE,Crosscut Mountain Sports Center,,,45.84794645,-110.8021558,https://www.indyskipass.com/our-resorts/crosscut-mountain-sports-center,
Indy,FALSE,Crystal Mountain,,,44.52010072,-85.99161557,https://www.indyskipass.com/our-resorts/crystal-mountain,
Indy,FALSE,Crystal Ridge,,,42.9208017,-88.0172624,https://www.indyskipass.com/our-resorts/crystal-ridge,
Indy,FALSE,Cupid Valley,,,37.0552643,138.4817142,https://www.indyskipass.com/our-resorts/cupid-valley,
Indy,FALSE,Dartmouth Skiway,,,43.787748,-72.1021183,https://www.indyskipass.com/our-resorts/dartmouth-skiway,
Indy,FALSE,Detroit Mountain,,,46.8130854,-95.785864,https://www.indyskipass.com/our-resorts/detroit-mountain,
Indy,FALSE,Dodge Ridge,,,38.1898028,-119.9584442,https://www.indyskipass.com/our-resorts/dodge-ridge,
Indy,FALSE,Dog Creek Lodge & Nordic Center,,,48.59110985,-114.6061667,https://www.indyskipass.com/our-resorts/dog-creek-lodge-nordic-center,
Indy,FALSE,Dynaland,,,35.9902088,136.8679602,https://www.indyskipass.com/our-resorts/dynaland,
Indy,FALSE,Eagle Point,,,38.3203245,-112.3864365,https://www.indyskipass.com/our-resorts/eagle-point,
Indy,FALSE,Eaglecrest,,,58.2745312,-134.5153968,https://www.indyskipass.com/our-resorts/eaglecrest,
Indy,FALSE,Echo Mountain,,,39.6845817,-105.5219731,https://www.indyskipass.com/our-resorts/echo-mountain,
Indy,FALSE,Enchanted Forest XC,,,36.7001562,-105.3505175,https://www.indyskipass.com/our-resorts/enchanted-forest-xc,
Indy,FALSE,ErcÄ°yes Ski Resort,,,37.8781927,34.014505,https://www.indyskipass.com/our-resorts/erciyes-ski-resort,
Indy,FALSE,Fairmont Hot Springs,,,50.3388251,-115.8307703,https://www.indyskipass.com/our-resorts/fairmont-hot-springs,
Indy,FALSE,Garnet Hill XC,,,43.7124502,-74.1073436,https://www.indyskipass.com/our-resorts/garnet-hill-xc,
Indy,FALSE,Geto Kogen,,,39.2366246,140.9036806,https://www.indyskipass.com/our-resorts/geto-kogen,
